date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
25/08/2024,3,7,10,13,14,16,23,24,26,29,31,34,36,42,54,58,59,60,62,71,74,80,85,90,92,97,98
24/08/2024,0,0,0,3,13,15,16,23,26,32,35,39,42,48,51,56,67,70,71,71,73,75,78,78,91,93,98
23/08/2024,6,13,18,18,19,20,23,23,26,26,27,42,48,49,60,65,68,70,78,84,86,86,86,91,95,96,96
22/08/2024,3,5,6,7,9,11,13,17,21,23,33,36,38,43,45,61,61,63,72,76,81,84,88,90,93,94,95
21/08/2024,7,10,11,12,22,29,32,33,36,39,41,42,43,45,46,48,49,62,70,71,78,83,91,92,92,94,97
20/08/2024,2,2,2,4,8,9,9,10,11,15,17,19,23,24,35,36,37,38,43,49,54,55,63,76,86,93,99
19/08/2024,2,3,4,10,13,13,20,21,22,25,25,29,49,56,62,63,64,67,72,77,81,83,83,86,92,93,96
18/08/2024,13,14,14,15,24,33,33,44,44,45,46,46,48,51,58,61,62,68,69,76,80,80,85,86,88,90,96
17/08/2024,1,6,10,11,17,17,33,33,43,46,46,48,48,53,57,61,70,72,74,74,78,79,82,88,93,93,97
16/08/2024,0,4,4,6,7,7,12,15,20,21,24,27,29,32,35,38,41,52,56,58,65,74,77,78,81,90,97
15/08/2024,8,12,14,18,23,24,36,39,39,41,43,44,45,46,49,56,56,59,67,69,76,79,82,83,83,89,96
14/08/2024,0,0,9,9,22,22,23,28,29,37,39,44,47,51,58,64,65,69,71,72,74,80,85,85,92,94,97
13/08/2024,4,6,7,8,12,13,18,21,21,22,27,27,28,35,37,48,49,57,58,67,68,69,72,74,83,90,94
12/08/2024,7,8,9,13,16,19,25,26,28,31,32,43,44,44,50,52,57,57,62,64,65,67,73,75,76,92,96
11/08/2024,2,3,9,14,22,23,27,34,37,37,37,37,39,40,41,43,45,46,46,68,71,75,76,80,80,82,90
10/08/2024,5,6,6,8,15,21,22,29,29,31,31,34,38,38,40,46,49,52,62,72,80,89,90,91,92,96,98
